Row ID,Order Date,Customer ID,Customer Name,Gender,Segment,Product ID,Category,Sub Category,Product Name,Quantity,Price per Unit
6847,20/10/3024,CUST-6489,Harish Bhat,Male,,PROD-328,Office Supplies,Writing,Marker,4,4457.22
5640,2024-09-28,CUST-8543,Divya Menon,Female,Consumer,PROD-309,Office Supplies,Storage,File Box,7,₹1200.83
1358,2025-01-02,CUST-3820,Ritu Singh,Female,,PROD-360,Technology,Laptops,Gaming Laptop,1,125.85
1497,2024-04-25,CUST-1685,Deepak Kumar,Male,,PROD-113,Technology,Accessories,Headphones,3,6106.97
5689,2025-07-01,CUST-8560,Meera Desai,Female,Home Office,PROD-880,Furniture,Chairs,Folding Chair,3,1615.7
6614,2022-05-01,CUST-2814,Mohammed Khan,Male,Consumer,PROD-359,Technology,Phones,Smartphone,1,4521.44
8388,2020-04-06,CUST-3913,Vijay Rao,Male,Home Office,PROD-523,Office Supplies,Writing,Ballpoint Pen,4,₹2746.70
728,2024-11-06,CUST-3976,Vijay Rao,Male,,PROD-763,Office Supplies,Storage,Storage Bin,five,5874.76
6687,27/7/3023,CUST-9389,Sunita Jadhav,Female,Corporate,PROD-166,Technology,Copiers,Inkjet Copier,10,5237.45
9710,2025-04-04,CUST-3718,Latha Pillai,Female,Consumer,PROD-339,Technology,Phones,Cordless Phone,3,891.58
10155,2024-07-29,CUST-8007,Shreya Kapoor ,Female,Consumer,PROD-370,Office Supplies,Paper,Sticky Notes,9,3825.0
1104,2024-07-06,CUST-9077,Aditya Ghosh,Male,Home Office,PROD-782,Office Supplies,Writing,Marker,5,4040.93
7225,2020-12-07,CUST-4499,Priya Iyer,Female,Corporate,PROD-898,Furniture,Bookcases,Wooden Bookcase,6,5509.92
4466,2023-08-06,CUST-5448,Sanjay Gupta,Male,,PROD-130,Office Supplies,Binders,View Binder,1,5827.69
1456,2021-06-14,CUST-2971,Bhavna Mehta,Female,,PROD-122,Technology,Laptops,Ultrabook Laptop,6,118.17
9726,2025-02-02,CUST-1871,Amit Sharma,Male,Corporate,PROD-325,Furniture,Tables,Office Desk,9,2151.29
7805,2024-08-17,CUST-4902,Nandini Shetty,Female,,PROD-307,Office Supplies,Storage,File Box,3,₹2738.69
7575,17-10-2023,CUST-3662,Nisha Verma,Female,Corporate,PROD-528,Technology,Phones,Smartphone,7,2698.23
9339,2023-05-29,CUST-8792,Vikram Iyer,Male,Corporate,PROD-910,Office Supplies,Writing,Fountain Pen,2,3166.22
5702,2020-12-13,CUST-5562,Amit Sharma,Male,,PROD-301,Office Supplies,Writing,Fountain Pen,3,3100.06
3225,16-12-2022,CUST-6004,Priyanka Sinha,Female,Consumer,PROD-661,Furniture,Tables,Conference Table,2,1693.67
6905,2023-12-17,CUST-6838,Amitabh Sinha,Male,Home Office,PROD-524,Furniture,Bookcases,Metal Shelf,8,6618.35
4272,2024-06-23,CUST-6832,Sangeeta Choudhary,Female,Consumer,PROD-467,Technology,Accessories,Charger,5,1212.61
6366,2024-03-10,CUST-4649,Sunita Jadhav,Female,,PROD-146,Technology,Copiers,Laser Copier,9,2981.85
8936,2022-03-04,CUST-7484,Sunita Jadhav,Female,Consumer,PROD-296,Technology,Copiers,Inkjet Copier,8,3124.24
9690,2023-03-01,CUST-1721,Sonal Mishra,Female,,PROD-362,Technology,Accessories,Headphones,10,1826.49
8215,2021-11-05,CUST-5738,Ravi Kumar,Male,Consumer,PROD-495,Office Supplies,Writing,Ballpoint Pen,8,6609.37
8784,2021-05-11,CUST-7061,Rohit Kapoor,Male,Home Office,PROD-887,Office Supplies,Binders,View Binder,7,3292.39
4186,2025/04/27,CUST-8590,Manish Desai,Male,Consumer,PROD-463,Office Supplies,Storage,Storage Bin,10,4758.48
3040,2023-07-10,CUST-6588,Suresh Reddy,Male,,PROD-782,Office Supplies,Storage,Desk Organizer,4,966.89
1891,2022/04/30,CUST-9201,Shreya Kapoor,Female,Corporate,PROD-557,Furniture,Bookcases,Corner Shelf,3,487.95
9168,2020-11-14,CUST-2279,Ajay Deshmukh,Male,,PROD-353,Furniture,Tables,Folding Table,6,5046.22
